y,z,b
-49.731,-145.066,-106346
-49.759,-144.672,-106348
-49.787,-144.154,-106350
-49.815,-143.48,-106352
-49.842,-142.636,-106354
-49.87,-141.572,-106356
-49.898,-140.277,-106358
-49.926,-138.76,-106360
-49.953,-137.018,-106362
-49.981,-135.029,-106364
-50.009,-132.704,-106366
-50.037,-129.924,-106368
-50.065,-126.619,-106370
-50.092,-122.811,-106372
-50.12,-118.346,-106374
-50.148,-113.292,-106376
-50.176,-107.881,-106378
-50.203,-102.717,-106380
-50.231,-99.285,-106382
-50.259,-98.566,-106384
-50.287,-98.641,-106386
-50.315,-98.971,-106388
-50.342,-99.411,-106390
-50.37,-100.028,-106392
-50.398,-100.869,-106394
-50.426,-101.846,-106396
-50.453,-102.868,-106398
-50.481,-104.015,-106400
-50.509,-105.334,-106402
-50.537,-106.817,-106404
-50.565,-108.359,-106406
-50.592,-109.925,-106408
-50.62,-111.445,-106410
-50.648,-112.961,-106412
-50.676,-114.479,-106414
-50.703,-115.952,-106416
-50.731,-117.401,-106418
-50.759,-118.843,-106420
-50.787,-120.304,-106422
-50.815,-121.72,-106424
-50.842,-123.073,-106426
-50.87,-124.457,-106428
-50.898,-125.847,-106430
-50.926,-127.2,-106432
-50.953,-128.551,-106434
-50.981,-129.911,-106436
-51.009,-131.244,-106438
-51.037,-132.46,-106440
-51.065,-133.526,-106442
-51.092,-134.479,-106444
-51.12,-135.389,-106446
-51.148,-136.272,-106448
-51.176,-137.035,-106450
-51.203,-137.69,-106452
-51.231,-138.298,-106454
-51.259,-138.968,-106456
-51.287,-139.756,-106458
-51.315,-140.616,-106460
-51.342,-141.418,-106462
-51.37,-142.234,-106464
-51.398,-143.146,-106466
-51.426,-143.912,-106468
-51.453,-144.56,-106470
-51.481,-145.3,-106472
-51.509,-146.193,-106474
-51.537,-147.302,-106476
-51.565,-148.535,-106478
-51.592,-149.68,-106480
-51.62,-150.723,-106482
-51.648,-151.692,-106484
-51.676,-152.53,-106486
-51.703,-153.209,-106488
-51.731,-153.589,-106490
-51.759,-153.802,-106492
-51.787,-153.884,-106494
-51.815,-153.8,-106496
-51.842,-153.488,-106498
-51.87,-152.912,-106500
-51.898,-151.974,-106502
-51.926,-150.744,-106504
-51.953,-149.27,-106506
-51.981,-147.562,-106508
-52.009,-145.641,-106510
-52.037,-143.557,-106512
-52.065,-141.316,-106514
-52.092,-138.905,-106516
-52.12,-136.454,-106518
-52.148,-133.981,-106520
-52.176,-131.497,-106522
-52.203,-129.089,-106524
-52.231,-126.774,-106526
-52.259,-124.611,-106528
-52.287,-122.531,-106530
-52.315,-120.558,-106532
-52.342,-118.763,-106534
-52.37,-117.067,-106536
-52.398,-115.503,-106538
-52.426,-114.195,-106540
-52.453,-112.983,-106542
-52.481,-111.868,-106544
-52.509,-110.886,-106546
-52.537,-109.988,-106548
-52.565,-109.177,-106550
-52.592,-108.495,-106552
-52.62,-107.963,-106554
-52.648,-107.51,-106556
-52.676,-107.124,-106558
-52.703,-106.881,-106560
-52.731,-107.125,-106562
-52.759,-107.511,-106564
-52.787,-107.964,-106566
-52.815,-108.497,-106568
-52.842,-109.18,-106570
-52.87,-109.99,-106572
-52.898,-110.888,-106574
-52.926,-111.869,-106576
-52.953,-112.984,-106578
-52.981,-114.204,-106580
-53.009,-115.512,-106582
-53.037,-117.078,-106584
-53.065,-118.778,-106586
-53.092,-120.573,-106588
-53.12,-122.555,-106590
-53.148,-124.644,-106592
-53.176,-126.823,-106594
-53.203,-129.151,-106596
-53.231,-131.58,-106598
-53.259,-134.082,-106600
-53.287,-136.575,-106602
-53.315,-139.043,-106604
-53.342,-141.476,-106606
-53.37,-143.741,-106608
-53.398,-145.845,-106610
-53.426,-147.781,-106612
-53.453,-149.503,-106614
-53.481,-150.993,-106616
-53.509,-152.234,-106618
-53.537,-153.179,-106620
-53.565,-153.764,-106622
-53.592,-154.07,-106624
-53.62,-154.135,-106626
-53.648,-154.027,-106628
-53.676,-153.79,-106630
-53.703,-153.382,-106632
-53.731,-152.692,-106634
-53.759,-151.827,-106636
-53.787,-150.845,-106638
-53.815,-149.809,-106640
-53.842,-148.67,-106642
-53.87,-147.431,-106644
-53.898,-146.303,-106646
-53.926,-145.395,-106648
-53.953,-144.658,-106650
-53.981,-144,-106652
-54.009,-143.232,-106654
-54.037,-142.334,-106656
